37141	68622	1
18011	37761	1
8012	15412	1
3412	9539	1
56087	80534	1
37438	38888	1
56816	69654	1
20364	70815	1
1830	36088	1
5594	50317	1
12303	57595	1
39438	59935	1
636	9150	1
24021	57219	1
38051	52863	1
56262	79095	1
48789	55505	1
21688	60990	1
12138	43909	1
20155	80186	1
40078	76510	1
19421	43017	1
33647	38037	1
36693	72253	1
9858	62624	1
14386	50278	1
72487	75658	1
30168	77548	1
31731	72864	1
670	35116	1
65070	70737	1
56591	74555	1
5447	52667	1
63222	65306	1
2577	16030	1
32095	63663	1
46663	77106	1
14463	54262	1
1660	37588	1
27550	62143	1
19217	36440	1
54023	74672	1
2758	37197	1
60259	63900	1
48937	50213	1
81315	81372	1
17556	44727	1
31477	34255	1
45477	77823	1
13286	40648	1
63335	74977	1
19959	80860	1
14980	57228	1
22900	69555	1
44213	79526	1
33828	43682	1
8329	52600	1
70853	74824	1
34483	52693	1
3346	30282	1
12855	58611	1
34564	51782	1
12062	13141	1
27972	63878	1
20531	62843	1
24779	30723	1
39389	45163	1
799	37900	1
42914	62455	1
13833	34443	1
3135	70744	1
21616	51188	1
4567	17307	1
19496	74150	1
15731	37438	1
7573	48253	1
55409	72052	1
33011	77871	1
25272	41027	1
70187	70811	1
47117	66579	1
8941	35893	1
32033	61055	1
12804	38885	1
63531	81161	1
16687	54176	1
31762	70052	1
11628	50163	1
39881	68425	1
56459	80681	1
41419	52114	1
20938	45974	1
70643	80682	1
52335	54639	1
4117	77205	1
11598	60901	1
12787	67357	1
11919	62391	1
29913	47557	1
39124	74399	1
26272	71640	1
18458	42659	1
22536	71146	1
36333	71643	1
6179	66037	1
268	62162	1
29989	64309	1
52525	54793	1
45787	70307	1
6069	56493	1
30741	36493	1
40837	74782	1
12762	31534	1
3165	47591	1
22334	55471	1
26420	33667	1
27976	30816	1
42523	51737	1
32767	42842	1
37760	42847	1
10472	67036	1
23214	49174	1
12988	27698	1
19362	71260	1
16513	24727	1
21434	62135	1
33839	69044	1
174	23769	1
67083	69314	1
34181	48858	1
10397	20195	1
12964	43490	1
66063	73486	1
290	2331	1
4585	75705	1
16812	47235	1
51280	57055	1
16589	27172	1
14572	68492	1
29075	37509	1
38276	40858	1
24544	37392	1
46100	48616	1
31082	81111	1
2645	46348	1
3817	72812	1
4172	39489	1
3081	10530	1
9024	63769	1
8721	58110	1
14296	42853	1
31041	41732	1
16366	40678	1
46005	68862	1
43886	79974	1
23687	43902	1
7937	15315	1
29158	32952	1
3693	78868	1
318	34418	1
54895	56463	1
8475	69334	1
5364	61548	1
58448	60201	1
27260	58295	1
41051	61785	1
32374	46479	1
46537	64137	1
12349	35147	1
13906	37533	1
10416	43700	1
31099	52451	1
34779	42976	1
5628	54898	1
28618	69956	1
11333	34763	1
31446	65068	1
41763	57207	1
11417	14028	1
9182	35421	1
21334	37897	1
12105	64208	1
57386	73678	1
20894	71358	1
3982	39459	1
7043	36935	1
10519	45953	1
36645	69431	1
3140	28509	1
44620	75637	1
35207	58350	1
9465	24351	1
105	47804	1
34406	45558	1
14487	66924	1
13468	27706	1
50577	73904	1
47124	55567	1
1356	25334	1
36532	55984	1
41343	42987	1
35402	65233	1
15627	31272	1
53237	79574	1
8293	24844	1
41970	62286	1
71544	75600	1
10119	29531	1
4158	24593	1
14233	44571	1
24998	50929	1
34302	55218	1
42883	44558	1
2170	63151	1
523	60298	1
6982	33117	1
52361	73076	1
57145	72804	1
61437	66515	1
19511	80904	1
13436	78166	1
2268	69525	1
16509	34562	1
57179	75678	1
18621	80099	1
15744	64607	1
8573	17049	1
77543	79415	1
15571	64981	1
15345	57874	1
69055	78118	1
17338	79406	1
5291	18084	1
41647	57462	1
29261	58509	1
33265	55528	1
17049	79557	1
45485	75258	1
14216	30591	1
75813	79438	1
6799	35179	1
50084	70198	1
15454	54323	1
12821	37581	1
8282	24236	1
29721	61737	1
6900	47223	1
9757	79155	1
18096	46340	1
7669	47516	1
6081	17168	1
21058	32663	1
33502	42666	1
39540	43772	1
53107	64163	1
21778	28705	1
20479	45862	1
45748	46615	1
29613	34552	1
28986	61728	1
10921	20904	1
21732	80847	1
11953	19998	1
8262	10036	1
40859	46762	1
20748	55076	1
4107	23035	1
1295	63410	1
35320	60876	1
64815	78930	1
59515	61790	1
