18011	37761
770	72883
42193	58409
37438	38888
20364	70815
44300	48190
1830	36088
24616	74149
20474	79355
17182	49920
636	9150
29797	78232
24021	57219
38051	52863
56262	79095
48789	55505
21688	60990
31744	56086
41954	42524
31929	45009
40078	76510
13579	69029
19421	43017
36693	72253
11508	33984
28302	42412
79920	80437
72487	75658
36368	59759
31731	72864
33486	62263
2256	65169
56591	74555
65070	70737
670	35116
27694	58224
61696	81273
63222	65306
2577	16030
32095	63663
1660	37588
81315	81372
2632	38129
49068	66787
36483	80911
17556	44727
31477	34255
13286	40648
63335	74977
57214	80372
66077	73014
22505	58303
23197	74478
3487	63427
23823	58660
6629	31067
70853	74824
34483	52693
3346	30282
22089	54413
34564	51782
12062	13141
20531	62843
24779	30723
39389	45163
799	37900
44336	73761
4567	17307
39093	81068
19496	74150
27214	68980
15731	37438
7573	48253
55409	72052
25363	41068
32033	61055
1053	2632
46991	74979
10449	44736
16687	54176
39881	68425
11628	50163
42147	47829
13415	78290
35775	62050
70643	80682
41419	52114
20938	45974
10907	11095
11919	62391
8972	25499
39124	74399
26272	71640
28967	31079
6179	66037
10954	56789
10279	60453
29989	64309
49536	56579
59026	68971
45787	70307
6069	56493
40837	74782
1111	55006
3165	47591
6657	35926
14104	59282
26420	33667
21810	68921
12762	31534
42486	80044
42642	50382
27976	30816
32767	42842
10472	67036
2447	46707
23214	49174
12988	27698
64230	72135
19362	71260
14552	67559
174	23769
67083	69314
78371	81096
14740	59975
34181	48858
47081	63538
290	2331
4585	75705
16812	47235
8332	59919
51280	57055
33800	39415
14572	68492
29075	37509
38276	40858
24544	37392
31082	81111
11080	51334
28460	42039
3817	72812
25463	30137
4172	39489
3081	10530
9024	63769
21097	23144
8721	58110
1968	31330
16366	40678
8293	22100
23333	65658
29158	32952
15526	78875
3693	78868
318	34418
17030	40794
20741	48074
58448	60201
22144	28243
41051	61785
43606	73680
52190	60413
12349	35147
1130	79439
46537	64137
13906	37533
39852	67684
31099	52451
15135	77610
34779	42976
11333	34763
31446	65068
18323	40516
15504	78018
9182	35421
11417	14028
12105	64208
57386	73678
3982	39459
7043	36935
54932	63621
44620	75637
7606	47053
9465	24351
3997	80553
42372	45699
14487	66924
47124	55567
41343	42987
35402	65233
53237	79574
10119	29531
8293	24844
71544	75600
24998	50929
34302	55218
21635	72932
42883	44558
34858	38146
2170	63151
4093	48657
523	60298
12264	63854
6982	33117
52361	73076
11176	16151
57332	65570
23077	74193
9525	24023
45123	68564
11697	70325
3605	46282
52838	75736
15744	64607
57179	75678
253	65518
8573	17049
16509	34562
15345	57874
69055	78118
17338	79406
5291	18084
29261	58509
47910	71100
29659	58800
6799	35179
75813	79438
50084	70198
15454	54323
29721	61737
36967	51682
30519	68106
9757	79155
7669	47516
6081	17168
21058	32663
39540	43772
33502	42666
53107	64163
20479	45862
45748	46615
29923	77827
29613	34552
10921	20904
11953	19998
4356	61262
8262	10036
40859	46762
12304	37184
20748	55076
20464	37045
8835	72787
35320	60876
17143	35436
10730	45623
11896	36971
37997	52500
44058	61555
48380	79110
59420	81112
10000	57036
23291	44221
36053	66838
4950	67748
29383	64158
21351	71173
65334	75890
18869	31847
6900	38267
23740	39627
13679	38750
6005	68727
1494	20303
32819	50395
6720	61293
2902	21274
28117	34149
50409	65029
14280	38075
75241	75667
49541	69379
18576	46886
68984	76583
55260	78371
7839	59724
1372	26242
74652	76815
52960	76004
47314	54837
9076	66596
52106	66646
64383	71615
46768	54211
52482	79956
5048	25294
21960	24509
45210	64817
24040	38790
39760	62936
9815	65849
14909	49308
44680	75053
71529	76993
14200	66663
27087	28724
27833	77171
42087	57002
4094	62361
37972	66244
24733	76570
31433	71846
9126	72849
14267	76151
6673	36732
1449	28175
15915	45215
24250	75395
3648	3922
61174	63972
40273	51286
37320	79026
55010	63748
57958	71973
20346	67055
32881	80339
35802	70081
66405	79563
53543	67986
65523	78181
6946	37057
18309	43097
469	58724
16305	42018
38057	69873
7669	11398
11953	80781
3486	33496
15698	40695
19072	36783
18356	19235
14203	39449
11525	14439
26902	43411
23191	49653
52005	77237
42924	47664
31090	76990
34949	41480
73029	73054
67680	68736
5937	13523
34886	67080
28421	75307
56642	57727
26811	31666
39497	73462
14293	67485
61373	64118
38326	51219
36123	75402
672	78571
19280	51962
24083	67671
19139	62427
8083	33886
24953	67850
1117	63516
41605	69349
28781	72184
12735	79312
10488	32762
25446	74997
9220	48665
1440	5124
13729	60221
35115	49682
7697	80155
59733	64722
34763	50413
28824	67657
2920	40921
53357	60098
1113	36305
55470	74021
618	76228
40876	63246
60965	77329
24521	42529
11375	63043
427	7004
44874	49810
22712	23673
50311	64714
38037	61995
9740	47728
19537	55998
30237	78954
4804	77242
17189	68271
55079	58480
37094	46669
23385	54127
69145	77276
35741	70224
1862	19684
34909	79932
53006	65649
34911	51335
54639	66329
33222	77163
2740	48821
3632	51105
22836	62877
18896	62849
8647	18021
1053	44504
58881	64893
39051	60467
4141	5984
19662	24939
53243	73377
42427	73108
28825	73649
15102	40981
56945	58310
17568	18259
15043	51806
22981	31854
8363	21972
12140	46699
15389	29283
3805	11555
50632	62011
27815	31721
3773	67420
28631	70213
15602	77859
62617	68031
9610	28999
40894	78868
14231	53579
30569	80707
26585	50727
22903	53454
71476	77222
56196	76514
7639	50950
24500	47246
47403	73479
37792	68437
43097	74181
24791	76502
8709	61868
2136	37912
13412	23734
18654	71416
11679	70218
37284	68704
32714	57663
20622	78998
33228	72598
8978	16608
14909	59269
12080	47935
13680	14909
8934	29366
57328	69959
7970	10010
2653	50406
24139	41284
42583	46449
1435	13653
9250	45864
895	16873
1576	66750
60873	66384
19522	54339
8962	79747
46345	49695
2678	17098
28128	40631
20865	77855
17025	29304
10162	64355
51364	68070
1878	32557
54348	65088
35378	38203
34806	67045
18528	76869
828	34062
30066	49385
40026	54673
17469	30361
7270	75665
21954	42011
1935	44218
32279	48658
52052	54352
47343	61777
7817	76512
36788	44492
40957	55110
8200	42562
44050	74328
13229	62906
52462	73129
8110	8610
5628	63775
30779	69057
47846	74919
26899	56349
23496	57793
18458	74615
7519	36787
19834	69155
15122	76209
9297	20674
51878	69172
50072	63436
63498	80887
49811	64522
30347	62316
19776	37820
21447	31328
6839	28714
42113	49452
29585	46730
40876	71514
68462	74110
35840	44536
37159	75014
19285	53053
19854	28455
4870	57483
16875	18528
27148	49298
64333	76954
50457	76379
8768	63999
65451	79276
5572	66251
51098	67151
33309	48285
41501	72861
45930	63466
35840	48814
14909	19979
61144	65508
21276	50676
25892	69974
23839	74492
23493	48132
73723	78484
64943	70146
9858	37778
16253	72745
24351	55699
340	79188
40336	60385
45775	73358
1644	74780
43667	47883
